Player,Shooter_Score,Rebounding_Score,Defense_Score,Playmaking_Score,Scorer_Score,Shooter_Category,Rebounding_Category,Defense_Category,Playmaking_Category,Scorer_Category
A.C. Green,29,59,52,34,38,0,2,1,0,0
A.J. Green,70,33,44,44,42,2,0,0,1,1
A.J. Guyton,46,27,29,48,38,1,0,0,1,0
A.J. Price,53,30,45,49,42,1,0,0,2,1
AJ Griffin,58,33,47,38,44,2,0,1,1,1
Aaron Brooks,56,30,41,52,49,2,0,0,2,1
Aaron Gordon,54,54,54,48,56,1,2,1,1,2
Aaron Gray,27,52,50,30,31,0,2,1,0,0
Aaron Holiday,46,32,49,49,39,1,0,1,1,1
Aaron McKie,39,37,64,46,37,1,1,2,1,0
Aaron Nesmith,64,41,52,39,51,2,1,1,1,1
Aaron Wiggins,49,38,50,38,41,1,1,1,1,1
Aaron Williams,29,47,53,31,37,0,1,1,0,0
Abdel Nader,48,31,50,32,38,1,0,1,0,0
Acie Law,34,28,42,45,34,1,0,0,1,0
Adam Keefe,29,52,51,36,40,0,2,1,1,1
Adam Morrison,47,32,36,37,40,1,0,0,1,1
Adonal Foyle,27,54,69,30,34,0,2,2,0,0
Adreian Payne,30,50,38,31,40,0,2,0,0,1
Adrian Griffin,33,45,63,45,36,1,1,2,1,0
Ajay Mitchell,42,32,54,41,36,1,0,1,1,0
Al Harrington,58,53,50,36,64,2,2,1,1,2
Al Horford,49,62,71,54,54,1,2,2,2,2
Al Jefferson,29,71,65,38,65,0,2,2,1,2
Al Thornton,34,42,45,34,48,1,1,0,0,1
Al-Farouq Aminu,46,52,60,35,41,1,2,2,1,1
Alan Anderson,53,33,44,36,43,1,0,0,1,1
Alan Henderson,29,52,49,30,46,0,2,1,0,1
Alan Williams,28,55,50,30,40,0,2,1,0,1
Alec Burks,58,41,46,45,54,2,1,1,1,2
Aleksej Pokusevski,56,47,55,41,45,2,1,1,1,1
Alex Caruso,50,36,69,51,40,1,1,2,2,1
Alex Len,36,51,54,33,41,1,2,1,0,1
Alex Sarr,62,56,57,42,55,2,2,1,1,2
Alexey Shved,55,33,42,50,50,1,0,0,2,1
Alexis Ajinça,29,48,53,29,34,0,1,1,0,0
Allan Houston,59,36,49,43,69,2,1,1,1,2
Allan Ray,49,29,40,34,39,1,0,0,0,1
Allen Crabbe,59,35,41,39,42,2,1,0,1,1
Allen Iverson,50,39,56,66,84,1,1,1,2,2
Allonzo Trier,47,37,39,39,51,1,1,0,1,1
Alonzo Gee,39,41,49,33,40,1,1,1,0,1
Alonzo Mourning,29,60,80,29,56,0,2,2,0,2
Alperen Sengun,41,69,67,56,63,1,2,2,2,2
Alvin Williams,37,32,52,53,43,1,0,1,2,1
Amar'e Stoudemire,30,59,55,31,61,0,2,1,0,2
Amen Thompson,38,60,71,43,49,1,2,2,1,1
Amir Coffey,56,34,48,43,44,2,0,1,1,1
Amir Johnson,33,54,63,37,40,1,2,2,1,1
Anderson Varejão,29,67,62,37,43,0,2,2,1,1
Andray Blatche,32,54,59,36,51,0,2,2,1,1
Andre Drummond,29,87,71,37,55,0,2,2,1,2
Andre Iguodala,49,46,71,60,51,1,1,2,2,1
Andre Jackson Jr.,42,39,50,37,32,1,1,1,1,0
Andre Miller,35,40,53,73,49,1,1,1,2,1
Andre Roberson,40,45,66,37,35,1,1,2,1,0
Andrea Bargnani,55,46,46,34,62,1,1,1,0,2
Andrei Kirilenko,41,51,83,46,53,1,2,2,1,2
Andrew Bogut,28,68,72,41,40,0,2,2,1,1
Andrew Bynum,29,61,58,34,49,0,2,2,0,1
Andrew DeClercq,28,51,54,30,39,0,2,1,0,1
Andrew Harrison,47,32,52,52,44,1,0,1,2,1
Andrew Lang,27,49,48,30,34,0,1,1,0,0
Andrew Nembhard,53,34,47,61,46,1,0,1,2,1
Andrew Nicholson,35,39,43,29,39,1,1,0,0,0
Andrew Wiggins,66,47,50,46,75,2,1,1,1,2
Andris Biedriņš,27,66,64,35,39,0,2,2,1,0
Andrés Nocioni,58,46,50,35,52,2,1,1,0,2
Anfernee Hardaway,41,43,57,50,51,1,1,1,2,1
Anfernee Simons,81,35,35,53,64,2,1,0,2,2
Antawn Jamison,54,64,50,37,72,1,2,1,1,2
Ante Žižić,29,51,36,33,40,0,2,0,0,1
Anthony Bennett,32,42,41,36,36,0,1,0,1,0
Anthony Black,44,34,58,45,40,1,0,2,1,1
Anthony Brown,47,34,40,36,34,1,0,0,1,0
Anthony Carter,34,33,59,61,36,1,0,2,2,0
Anthony Davis,43,78,84,44,82,1,2,2,1,2
Anthony Edwards,88,48,63,54,84,2,1,2,2,2
Anthony Goldwire,50,30,40,61,39,1,0,0,2,1
Anthony Johnson,41,31,47,58,38,1,0,1,2,0
Anthony Lamb,54,39,42,38,39,1,1,0,1,0
Anthony Mason,30,69,62,59,53,0,2,2,2,2
Anthony Morrow,58,33,42,37,47,2,0,0,1,1
Anthony Parker,55,39,55,49,47,1,1,1,1,1
Anthony Peeler,55,38,54,53,51,2,1,1,2,1
Anthony Randolph,29,50,52,31,48,0,2,1,0,1
Anthony Tolliver,54,43,44,37,41,1,1,0,1,1
Antoine Carr,28,33,50,33,37,0,0,1,0,0
Antoine Walker,62,65,57,49,73,2,2,1,1,2
Antoine Wright,45,36,48,39,40,1,1,1,1,1
Antonio Daniels,41,32,47,61,45,1,0,1,2,1
Antonio Davis,28,61,53,34,45,0,2,1,0,1
Antonio McDyess,28,61,62,33,48,0,2,2,0,1
Anžejs Pasečņiks,28,44,39,31,36,0,1,0,0,0
Archie Goodwin,41,34,40,41,47,1,0,0,1,1
Armen Gilliam,28,48,50,31,44,0,1,1,0,1
Armoni Brooks,68,33,42,41,41,2,0,0,1,1
Aron Baynes,38,49,51,33,38,1,1,1,0,0
Arron Afflalo,58,37,43,40,55,2,1,0,1,2
Art Long,27,44,44,31,33,0,1,0,0,0
Arvydas Sabonis,36,59,76,41,51,1,2,2,1,1
Ausar Thompson,42,56,63,41,45,1,2,2,1,1
Austin Croshere,48,49,53,34,46,1,1,1,0,1
Austin Daye,48,42,48,37,42,1,1,1,1,1
Austin Reaves,65,40,49,58,57,2,1,1,2,2
Austin Rivers,53,32,46,47,44,1,0,1,1,1
Avery Bradley,59,36,50,40,52,2,1,1,1,2
Avery Johnson,29,29,46,73,44,0,0,1,2,1
Ayo Dosunmu,55,37,53,56,48,1,1,1,2,1
B.J. Armstrong,42,29,34,49,41,1,0,0,2,1
Bam Adebayo,34,69,73,53,61,1,2,2,2,2
Baron Davis,68,40,61,80,68,2,1,2,2,2
Ben Gordon,61,35,47,44,63,2,1,1,1,2
Ben McLemore,65,32,41,33,46,2,0,0,0,1
Ben Simmons,29,59,75,79,53,0,2,2,2,2
Ben Wallace,27,72,86,37,37,0,2,2,1,0
Bennedict Mathurin,59,47,39,38,65,2,1,0,1,2
Beno Udrih,41,32,42,57,41,1,0,0,2,1
Bernard Robinson,31,39,61,35,38,0,1,2,1,0
Bilal Coulibaly,55,47,54,45,52,2,1,1,1,2
Billy Owens,34,49,51,39,41,1,1,1,1,1
Bimbo Coles,36,32,44,54,38,1,0,0,2,0
Bismack Biyombo,27,55,58,34,35,0,2,2,0,0
Bison Dele,29,62,62,33,55,0,2,2,0,2
Blake Griffin,59,57,54,59,69,2,2,1,2,2
Blake Wesley,39,33,38,45,37,1,0,0,1,0
Blue Edwards,41,37,43,43,47,1,1,0,1,1
Bo Outlaw,30,51,76,40,36,0,2,2,1,0
Bob Sura,43,47,56,57,50,1,1,1,2,1
Bobby Hurley,31,27,30,55,34,0,0,0,2,0
Bobby Jackson,52,37,52,47,47,1,1,1,1,1
Bobby Phills,53,39,62,50,56,1,1,2,2,2
Bobby Portis,55,62,45,36,55,1,2,0,1,2
Bobby Simmons,48,44,50,39,47,1,1,1,1,1
Bogdan Bogdanović,79,39,51,53,61,2,1,1,2,2
Bojan Bogdanović,70,38,38,36,61,2,1,0,1,2
Bol Bol,42,51,64,32,43,1,2,2,0,1
Bones Hyland,71,33,45,50,54,2,0,0,2,2
Bonzi Wells,36,45,62,37,51,1,1,2,1,1
Boris Diaw,42,46,55,52,44,1,1,1,2,1
Boštjan Nachbar,52,35,46,34,42,1,0,1,0,1
Brad Miller,35,64,57,47,53,1,2,1,1,2
Brad Wanamaker,40,31,51,52,37,1,0,1,2,0
Bradley Beal,72,43,53,57,78,2,1,1,2,2
Brandan Wright,29,45,61,34,39,0,1,2,0,0
Brandin Podziemski,55,49,56,59,45,1,1,1,2,1
Brandon Bass,30,50,56,33,45,0,2,1,0,1
Brandon Boston Jr.,58,39,52,49,53,2,1,1,1,2
Brandon Clarke,35,51,62,41,45,1,2,2,1,1
Brandon Davies,39,41,45,35,38,1,1,0,1,0
Brandon Ingram,58,48,52,58,74,2,1,1,2,2
Brandon Jennings,56,34,47,65,48,2,0,1,2,1
Brandon Knight,63,36,42,54,56,2,1,0,2,2
Brandon Miller,95,45,48,47,75,2,1,1,1,2
Brandon Roy,51,44,55,62,71,1,1,1,2,2
Brandon Rush,53,38,52,36,43,1,1,1,1,1
Brandon Williams,61,38,36,54,61,2,1,0,2,2
Brendan Haywood,28,63,61,29,41,0,2,2,0,1
Brent Barry,60,37,58,51,48,2,1,2,2,1
Brent Price,50,30,45,48,38,1,0,0,1,0
Brevin Knight,30,34,68,70,39,0,0,2,2,0
Brian Cardinal,46,43,65,39,47,1,1,2,1,1
Brian Cook,45,39,45,35,40,1,1,0,1,1
Brian Grant,29,63,59,34,46,0,2,2,0,1
Brian Roberts,48,29,41,53,43,1,0,0,2,1
Brian Scalabrine,42,39,50,38,36,1,1,1,1,0
Brian Shaw,40,39,53,61,40,1,1,1,2,1
Brian Skinner,27,54,55,32,35,0,2,1,0,0
Brice Sensabaugh,58,36,37,37,42,2,1,0,1,1
Brook Lopez,51,55,68,36,61,1,2,2,1,2
Brooks Thompson,55,29,38,49,40,2,0,0,2,1
Bruce Bowen,47,35,64,39,38,1,1,2,1,0
Bruce Brown,47,44,51,50,47,1,1,1,2,1
Bruno Caboclo,59,46,53,38,44,2,1,1,1,1
Bruno Fernando,29,45,55,34,37,0,1,1,0,0
Bryant Reeves,29,58,45,36,53,0,2,0,1,2
Bryant Stith,47,37,45,42,46,1,1,0,1,1
Bryce Drew,47,29,39,54,39,1,0,0,2,0
Bryce McGowens,43,32,38,37,37,1,0,0,1,0
Bryn Forbes,62,29,36,38,46,2,0,0,1,1
Bryon Russell,52,44,63,39,50,1,1,2,1,1
Buck Williams,28,49,58,30,35,0,1,2,0,0
Buddy Hield,82,41,46,46,59,2,1,1,1,2
Byron Mullens,46,52,41,35,50,1,2,0,0,1
Byron Scott,49,29,52,40,40,1,0,1,1,1
C.J. Miles,63,34,50,36,49,2,0,1,1,1
C.J. Watson,48,32,54,50,43,1,0,1,2,1
C.J. Williams,45,29,52,42,36,1,0,1,1,0
CJ Elleby,46,42,41,39,38,1,1,0,1,0
CJ McCollum,81,42,50,61,77,2,1,1,2,2
Cade Cunningham,73,50,52,79,79,2,2,1,2,2
Calbert Cheaney,31,38,52,40,42,0,1,1,1,1
Caleb Houstan,50,33,40,37,33,1,0,0,1,0
Caleb Martin,52,43,57,41,45,1,1,1,1,1
Calvin Booth,28,45,70,31,34,0,1,2,0,0
Cam Reddish,58,34,50,36,48,2,0,1,1,1
Cam Thomas,57,33,40,41,59,2,0,0,1,2
Cam Whitmore,64,42,47,31,55,2,1,1,0,2
Cameron Johnson,76,44,55,45,60,2,1,1,1,2
Cameron Payne,53,31,45,54,42,1,0,0,2,1
Caris LeVert,64,42,53,60,67,2,1,1,2,2
Carl Herrera,30,47,49,30,43,0,1,1,0,1
Carl Landry,30,51,48,30,54,0,2,1,0,2
Carlos Arroyo,35,31,45,54,40,1,0,0,2,1
Carlos Boozer,29,72,62,41,61,0,2,2,1,2
Carlos Delfino,59,40,61,43,46,2,1,2,1,1
Carlos Rogers,31,45,44,34,39,0,1,0,0,1
Carlton Carrington,62,43,43,55,47,2,1,0,2,1
Carmelo Anthony,58,56,52,45,84,2,2,1,1,2
Caron Butler,52,48,55,41,59,1,1,1,1,2
Cartier Martin,53,32,46,32,39,1,0,0,0,1
Casey Jacobsen,47,32,43,38,40,1,0,0,1,1
Cason Wallace,53,37,69,51,39,1,1,2,2,1
Cedi Osman,64,37,48,46,50,2,1,1,1,1
Cedric Ceballos,43,53,47,34,56,1,2,1,0,2
Cedric Henderson,29,37,56,38,40,0,1,1,1,1
Chandler Hutchison,38,42,48,34,40,1,1,1,0,1
Chandler Parsons,59,43,54,46,53,2,1,1,1,2
Channing Frye,56,43,53,36,43,2,1,1,1,1
Charles Barkley,42,87,59,54,66,1,2,2,2,2
Charles Jenkins,32,29,38,56,36,0,0,0,2,0
Charles Jones,43,29,42,38,34,1,0,0,1,0
Charles Oakley,31,65,70,48,42,0,2,2,1,1
Charles Smith,45,34,67,37,42,1,0,2,1,1
Charlie Bell,55,33,49,49,46,1,0,1,1,1
Charlie Villanueva,53,50,47,33,53,1,2,1,0,2
Charlie Ward,54,35,66,60,41,1,1,2,2,1
Chase Budinger,54,38,44,38,45,1,1,0,1,1
Chasson Randle,51,29,40,44,39,1,0,0,1,1
Chauncey Billups,66,35,50,65,63,2,1,1,2,2
Cherokee Parks,29,44,51,34,34,0,1,1,0,0
Chet Holmgren,63,63,84,44,63,2,2,2,1,2
Chimezie Metu,47,43,54,33,40,1,1,1,0,1
Chris Andersen,31,50,62,31,36,0,2,2,0,0
Chris Anstey,32,42,56,33,38,0,1,1,0,0
Chris Bosh,39,66,63,40,71,1,2,2,1,2
Chris Boucher,55,53,57,33,50,1,2,1,0,1
Chris Carr,44,37,40,35,47,1,1,0,1,1
Chris Childs,42,34,57,62,36,1,0,1,2,0
Chris Copeland,52,33,40,31,42,1,0,0,0,1
Chris Crawford,39,35,43,31,42,1,1,0,0,1
Chris Douglas-Roberts,42,34,52,36,43,1,0,1,1,1
Chris Duarte,61,38,42,40,51,2,1,0,1,1
Chris Dudley,26,57,66,28,32,0,2,2,0,0
Chris Duhon,51,32,52,62,39,1,0,1,2,1
Chris Gatling,32,53,50,29,54,0,2,1,0,2
Chris Herren,45,26,39,49,32,1,0,0,2,0
Chris Johnson,54,32,50,34,38,1,0,1,0,0
Chris Kaman,28,63,60,33,50,0,2,2,0,1
Chris McCullough,39,37,54,30,35,1,1,1,0,0
Chris Mihm,29,53,50,27,40,0,2,1,0,1
Chris Mills,45,49,55,42,52,1,1,1,1,2
Chris Mullin,53,38,59,43,48,1,1,2,1,1
Chris Paul,59,44,75,99,65,2,1,2,2,2
Chris Porter,28,43,40,35,46,0,1,0,1,1
Chris Quinn,51,31,47,57,43,1,0,1,2,1
Chris Robinson,46,31,44,43,35,1,0,0,1,0
Chris Singleton,38,39,60,33,34,1,1,2,0,0
Chris Webber,35,69,70,55,70,1,2,2,2,2
Chris Whitney,58,29,41,56,46,2,0,0,2,1
Chris Wilcox,28,53,46,31,45,0,2,1,0,1
Christian Braun,45,41,52,41,43,1,1,1,1,1
Christian Eyenga,44,36,48,31,40,1,1,1,0,1
Christian Laettner,33,50,61,40,47,1,2,2,1,1
Christian Wood,58,61,56,36,61,2,2,1,1,2
Chuck Hayes,27,53,64,41,32,0,2,2,1,0
Chuck Person,58,36,49,38,40,2,1,1,1,1
Chucky Atkins,58,30,44,54,48,2,0,0,2,1
Chucky Brown,31,36,47,37,36,0,1,1,1,0
Chuma Okeke,58,43,60,46,42,2,1,2,1,1
Clarence Weatherspoon,28,58,60,33,43,0,2,2,0,1
Cleanthony Early,45,35,41,33,38,1,0,0,0,0
Clifford Robinson,50,41,63,42,51,1,1,2,1,1
Clifford Rozier,25,54,46,34,33,0,2,1,0,0
Clint Capela,28,82,64,34,50,0,2,2,0,1
Clyde Drexler,67,51,70,67,72,2,2,2,2,2
Coby White,77,39,46,56,61,2,1,1,2,2
Cody Martin,46,42,56,48,40,1,1,1,1,1
Cody Zeller,33,55,58,38,44,1,2,2,1,1
Cole Aldrich,28,52,62,36,35,0,2,2,1,0
Cole Anthony,61,45,54,58,59,2,1,1,2,2
Collin Sexton,59,36,37,52,70,2,1,0,2,2
Corey Benjamin,43,31,47,33,44,1,0,1,0,1
Corey Brewer,44,37,58,39,44,1,1,2,1,1
Corey Kispert,70,36,39,40,50,2,1,0,1,1
Corey Maggette,44,47,46,39,65,1,1,1,1,2
Corie Blount,28,52,51,33,33,0,2,1,0,0
Corliss Williamson,28,45,48,33,51,0,1,1,0,1
Cory Alexander,58,36,53,58,49,2,1,1,2,1
Cory Joseph,45,35,52,55,41,1,1,1,2,1
Courtney Alexander,37,35,41,35,54,1,1,0,0,2
Courtney Lee,51,35,57,42,46,1,0,1,1,1
Craig Smith,29,45,47,32,43,0,1,1,0,1
Cristiano Felício,29,47,43,33,32,0,1,0,0,0
Cuttino Mobley,64,40,53,45,65,2,1,1,1,2
D'Angelo Russell,86,39,47,69,73,2,1,1,2,2
D.J. Augustin,56,30,40,56,46,2,0,0,2,1
D.J. White,30,44,44,39,41,0,1,0,1,1
D.J. Wilson,48,45,52,38,38,1,1,1,1,0
DaQuan Jeffries,46,34,41,36,33,1,0,0,1,0
Daequan Cook,59,33,43,36,42,2,0,0,1,1
Dahntay Jones,35,33,47,36,40,1,0,1,1,1
Daishen Nix,47,30,38,44,34,1,0,0,1,0
Dajuan Wagner,50,29,38,42,51,1,0,0,1,1
Dalano Banton,64,41,49,48,58,2,1,1,1,2
Dale Davis,27,62,61,34,38,0,2,2,0,0
Dale Ellis,66,36,39,36,56,2,1,0,1,2
Dalton Knecht,65,40,36,40,48,2,1,0,1,1
Damian Jones,34,42,55,36,36,1,1,1,1,0
Damian Lillard,94,43,50,76,89,2,1,1,2,2
Damien Wilkins,39,34,48,38,39,1,0,1,1,1
Damion James,28,39,54,32,33,0,1,1,0,0
Damion Lee,58,40,51,41,45,2,1,1,1,1
Damjan Rudež,49,25,42,34,34,1,0,0,0,0
Damon Jones,60,30,43,56,41,2,0,0,2,1
Damon Stoudamire,57,39,47,72,57,2,1,1,2,2
Damyean Dotson,58,34,42,44,44,2,0,0,1,1
Dan Dickau,54,34,41,63,54,1,0,0,2,2
Dan Gadzuric,27,51,57,29,35,0,2,1,0,0
Dan Majerle,61,41,65,50,42,2,1,2,2,1
Dana Barros,52,31,46,51,45,1,0,1,2,1
Daniel Gafford,30,59,70,37,45,0,2,2,1,1
Daniel Gibson,57,32,49,45,43,2,0,1,1,1
Daniel Theis,45,48,51,37,42,1,1,1,1,1
Danilo Gallinari,68,46,49,42,65,2,1,1,1,2
Danny Ferry,46,36,52,38,39,1,1,1,1,0
Danny Fortson,31,68,40,29,47,0,2,0,0,1
Danny Granger,60,44,55,36,58,2,1,1,1,2
Danny Green,66,40,71,40,46,2,1,2,1,1
Danny Manning,31,45,61,39,45,0,1,2,1,1
Danny Schayes,28,40,53,31,36,0,1,1,0,0
Dante Cunningham,38,43,52,35,38,1,1,1,0,0
Dante Exum,45,32,45,44,38,1,0,0,1,0
Danuel House Jr.,54,37,42,38,40,1,1,0,1,1
Dario Šarić,59,51,46,40,50,2,2,1,1,1
Darius Bazley,48,45,57,36,44,1,1,1,1,1
Darius Garland,74,35,48,74,70,2,0,1,2,2
Darius Miles,32,47,58,40,50,0,1,2,1,1
Darius Miller,59,30,44,43,40,2,0,0,1,1
Darius Songaila,30,41,49,36,39,0,1,1,1,1
Darko Miličić,27,48,62,35,40,0,1,2,1,1
Darrell Armstrong,54,36,61,59,47,1,1,2,2,1
Darrell Arthur,38,41,55,34,39,1,1,1,0,1
Darren Collison,49,35,53,66,54,1,1,1,2,2
Darrick Martin,53,29,40,58,49,1,0,0,2,1
Darvin Ham,30,45,51,34,34,0,1,1,0,0
David Benoit,46,36,47,28,36,1,1,1,0,0
David Duke Jr.,42,39,43,41,35,1,1,0,1,0
David Harrison,28,41,61,25,37,0,1,2,0,0
David Lee,29,62,55,40,48,0,2,1,1,1
David Nwaba,38,42,51,37,41,1,1,1,1,1
David Robinson,29,71,95,37,61,0,2,2,1,2
David Roddy,50,40,43,37,42,1,1,0,1,1
David Vanterpool,29,31,44,49,37,0,0,0,1,0
David Wesley,57,36,59,58,58,2,1,2,2,2
David West,32,59,66,42,60,0,2,2,1,2
Davion Mitchell,52,31,43,56,42,1,0,0,2,1
Day'Ron Sharpe,32,57,54,37,38,0,2,1,1,0
De'Aaron Fox,64,42,55,71,80,2,1,1,2,2
De'Andre Hunter,66,42,44,37,62,2,1,0,1,2
De'Anthony Melton,60,40,67,50,46,2,1,2,2,1
DeAndre Jordan,30,82,69,34,45,0,2,2,0,1
DeAndre Liggins,37,29,57,42,27,1,0,1,1,0
DeAndre' Bembry,37,38,58,41,36,1,1,2,1,0
DeJuan Blair,28,55,59,32,41,0,2,2,0,1
DeMar DeRozan,42,44,54,57,77,1,1,1,2,2
DeMarcus Cousins,54,69,68,46,71,1,2,2,1,2
DeMarre Carroll,54,44,55,38,46,1,1,1,1,1
DeSagana Diop,29,50,64,30,28,0,2,2,0,0
DeShawn Stevenson,42,37,41,42,45,1,1,0,1,1
Dean Garrett,28,59,59,34,39,0,2,2,0,0
Dean Wade,55,41,58,46,37,2,1,2,1,0
Deandre Ayton,33,79,59,36,59,1,2,2,1,2
Dedric Willoughby,58,32,46,47,45,2,0,1,1,1
Dee Brown,61,32,49,47,47,2,0,1,1,1
Dejounte Murray,57,53,67,70,65,2,2,2,2,2
Dell Curry,55,32,43,38,47,2,0,0,1,1
Delon Wright,47,40,64,62,44,1,1,2,2,1
Delonte West,47,37,60,55,46,1,1,2,2,1
Deni Avdija,54,51,55,47,50,1,2,1,1,1
Dennis Rodman,29,99,62,44,33,0,2,2,1,0
Dennis Schröder,64,37,46,68,62,2,1,1,2,2
Dennis Scott,57,34,45,41,47,2,0,0,1,1
Dennis Smith Jr.,52,36,56,59,51,1,1,1,2,1
Denzel Valentine,60,40,49,45,42,2,1,1,1,1
DerMarr Johnson,49,34,51,33,40,1,0,1,0,1
Dereck Lively II,29,63,66,41,40,0,2,2,1,1
Derek Anderson,53,38,52,50,51,1,1,1,2,1
